Source,Reference
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/1502.03167v3.pdf,"Ioffe, S., & Szegedy, C. (2015). Batch normalization: Accelerating deep network training by reducing internal covariate shift. arXiv. https://doi.org/10.48550/arXiv.1502.03167"
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/1905.05178v1.pdf,"Gao, H., & Ji, S. (2019). Graph U-Nets. In Proceedings of the 36th International Conference on Machine Learning (PMLR 97). Long Beach, California."
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/algal symbiosis− Specificity is rarely absolute in coral_20240819_143526_6db4f47d.pdf,"Silverstein, R. N., Correa, A. M. S., & Baker, A. C. (2012). Specificity is rarely absolute in coral-algal symbiosis: Implications for coral response to climate change. *Proceedings of the Royal Society B*, *279*(1738), 2609-2618. https://doi.org/10.1098/rspb.2012.0055"
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/1512.03385v1.pdf,"He, K., Zhang, X., Ren, S., & Sun, J. (2015). Deep residual learning for image recognition. In Proceedings of the IEEE Conference on Computer Vision and Pattern Recognition (CVPR) (pp. 770-778)."
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/An invasive fish and the time-lagged spread of its parasite across the Hawaiian archipelago_20240819_143059_d9f1f73b.pdf,"Gaither, M. R., Aeby, G., Vignon, M., Meguro, Y., Rigby, M., Runyon, C., Toonen, R. J., Wood, C. L., & Bowen, B. W. (n.d.). An invasive fish and the time-lagged spread of its parasite across the Hawaiian archipelago. *Journal Title*, *Volume*(Issue), Page range. DOI/Publisher."
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/1603.05027v3.pdf,"He, K., Zhang, X., Ren, S., & Sun, J. (2016). Identity mappings in deep residual networks. arXiv. https://doi.org/10.48550/arXiv.1603.05027"
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/1609.02907v4.pdf,"Kipf, T. N., & Welling, M. (2017). Semi-supervised classification with graph convolutional networks. In Proceedings of the International Conference on Learning Representations (ICLR)."
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/Assessment of disease lesion removal as a method to control chronic Montipora white syndrome_20240819_143131_e0e5619c.pdf,"Beurmann, S., Runyon, C. M., Videau, P., Callahan, S. M., & Aeby, G. S. (2017). Assessment of disease lesion removal as a method to control chronic Montipora white syndrome. *Diseases of Aquatic Organisms*, *123*, 173–179. https://doi.org/10.3354/dao03088"
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/Community structure of hermatypic corals at Kure Atoll in the Northwestern Hawaiian Islands Stemming the _20240819_143317_073197bb.pdf,"Kenyon, J. C., Dunlap, M. J., & Aeby, G. S. (2008). Community structure of hermatypic corals at Kure Atoll in the northwestern Hawaiian Islands: Stemming the shifting baseline. *Atoll Research Bulletin*, No. 559. National Museum of Natural History, Smithsonian Institution."
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/1710.10903v3.pdf,"Veličković, P., Cucurull, G., Casanova, A., Romero, A., Liò, P., & Bengio, Y. (2018). Graph attention networks. In *Proceedings of the International Conference on Learning Representations (ICLR)*."
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/Bioerosion_20240819_143508_dca1eba3.pdf,"Weinstein, D. K., Maher, R. L., & Correa, A. M. S. (2019). Bioerosion. In Y. Loya et al. (Eds.), *Mesophotic coral ecosystems* (pp. 43-56). Springer Nature. https://doi.org/10.1007/978-3-319-92735-0_43"
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/1806.08804v4.pdf,"Ying, R., You, J., Morris, C., Ren, X., Hamilton, W. L., & Leskovec, J. (n.d.). Hierarchical graph representation learning with differentiable pooling. Stanford University. Email: rexying@stanford.edu, jiaxuan@stanford.edu, christopher.morris@udo.edu, xiangren@usc.edu, wleif@stanford.edu, jure@cs.stanford.edu."
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/Behavioral and ecological relationships of a parasite and its hosts within a coral reef system_20240819_143044_932ea14b.pdf,"Aeby, G. S. (1991). Behavioral and ecological relationships of a parasite and its hosts within a coral reef system. *Pacific Science, 45*(3), 263-269."
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/Bacterial communities associated with healthy and Acropora white syndrome-affected corals from American Samoa_20240819_143052_d05a1f58.pdf,"Wilson, B., Aeby, G. S., Work, T. M., & Bourne, D. G. (2012). Bacterial communities associated with healthy and Acropora white syndrome-affected corals from American Samoa. *FEMS Microbiology Ecology*, *80*(2), 282-296. https://doi.org/10.1111/j.1574-6941.2012.01319.x"
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/A comparative baseline of coral disease across the central Red Sea_20240819_143130_af9b129c.pdf,"Aeby, G. S., Shore, A., Jensen, T., Ziegler, M., Work, T., & Voolstra, C. R. (2021). A comparative baseline of coral disease across the central Red Sea. *bioRxiv*. https://doi.org/10.1101/2021.01.28.428586"
/Users/tanim/Desktop/Coral-AI/data/nine_pdfs/Benthic communities_20240819_143344_9c58f475.pdf,"Friedlander, A., Keller, K., Wedding, L., Clarke, A., & Monaco, M. (Eds.). (2009). *A marine biogeographic assessment of the northwestern Hawaiian Islands* (NOAA Technical Memorandum NOS NCCOS 84). NOAA Center for Coastal Monitoring and Assessment."
